0, 1259 1381 1258 1381 1258 1381 
1, 1258 1379 
2, 1260 1378 1260 1377 1260 1376 1260 1375 1260 1374 1260 1374 1259 1374 1259 1373 1259 1373 1258 1373 1257 1373 1256 1373 1255 1373 1254 1373 1254 1373 1254 1372 1253 1372 1252 1372 1251 1372 1250 1372 1249 1372 1249 1372 1249 1371 1249 1371 1249 1370 1250 1370 1250 1369 1250 1368 1250 1367 1250 1366 1250 1366 1249 1366 1249 1365 1249 1364 1248 1364 1247 1364 1246 1364 1245 1364 1245 1363 1244 1363 1243 1363 1243 1363 1242 1363 1242 1363 1241 1363 1241 1363 
3, 1243 1363 1242 1363 1241 1363 1240 1363 1239 1363 1239 1363 1238 1363 1237 1363 1236 1363 1235 1363 1235 1363 1234 1363 1233 1363 1233 1362 1233 1361 1232 1361 1231 1361 1230 1361 1229 1361 1229 1361 1228 1361 1228 1361 1228 1362 1229 1362 1230 1362 1231 1362 1231 1362 1232 1362 1232 1363 1232 1364 1232 1365 1232 1365 1232 1366 1233 1366 1233 1366 1234 1366 1234 1366 1235 1366 1235 1366 1234 1366 1234 1367 1234 1368 1234 1369 1234 1370 1234 1370 1234 1371 1234 1372 1234 1373 1234 1373 1234 1374 1234 1375 1234 1376 1234 1377 1234 1378 1234 1379 1234 1380 1234 1381 1234 1382 1234 1383 1234 1384 1234 1384 1235 1384 1236 1384 1237 1384 1237 1385 1237 1386 1237 1386 1238 1386 1239 1386 1240 1386 1241 1386 1241 1387 1241 1387 1242 1387 1242 1387 1242 1386 1242 1386 1242 1385 1242 1385 1242 1384 1242 1384 1241 1384 1241 1383 1240 1383 1240 1382 1240 1381 1240 1381 1240 1380 1240 1379 1240 1378 1240 1378 1240 1377 1240 1376 1240 1376 1240 1375 1240 1374 1240 1374 1240 1373 1240 1373 1240 1372 1240 1372 1240 1371 1240 1371 1240 1370 1240 1370 1240 1369 1240 1368 1240 1368 1240 1367 1240 1367 1240 1366 1240 1365 1240 1364 1240 1364 1240 1363 1240 1362 1240 1361 1240 1361 1240 1360 1241 1360 1241 1360 1241 1361 1242 1361 1242 1361 1243 1361 1243 1361 1243 1362 1244 1362 1244 1362 1244 1363 1244 1364 1244 1365 1244 1365 
4, 1245 1368 1246 1368 1247 1368 1247 1368 1248 1368 1248 1368 1249 1368 1250 1368 1250 1368 1250 1367 1250 1367 1249 1367 1249 1367 1249 1368 1249 1368 1249 1369 1250 1369 1250 1369 1250 1370 1250 1370 1249 1370 1249 1371 1249 1372 1249 1373 1249 1373 1249 1374 1249 1374 1249 1375 1249 1376 1249 1376 1248 1376 1248 1375 1247 1375 1246 1375 1245 1375 1244 1375 1244 1375 1244 1376 1244 1377 1243 1377 1243 1377 1243 1378 1243 1379 1243 1380 1243 1381 1243 1382 1243 1382 1243 1383 1243 1384 1242 1384 1242 1384 1243 1384 1243 1385 1243 1385 1243 1384 1243 1384 1242 1384 1242 1383 1242 1383 1243 1383 1243 1383 1244 1383 1245 1383 1246 1383 1246 1383 1247 1383 1248 1383 1249 1383 1249 1383 1250 1383 1250 1383 1251 1383 1252 1383 1253 1383 1254 1383 1254 1383 1254 1384 1254 1384 1253 1384 1253 1385 1253 1386 1253 1387 1253 1388 1253 1389 1253 1390 1253 1390 1252 1390 1252 1391 1252 1392 1252 1392 1251 1392 1251 1393 1251 1394 1251 1395 1251 1395 1250 1395 1249 1395 1249 1396 1249 1397 1249 1398 1249 1399 1249 1399 1249 1400 1248 1400 1248 1401 1247 1401 1247 1401 1247 1402 1246 1402 1245 1402 1245 1403 1244 1403 1243 1403 1243 1404 1243 1405 1243 1406 1243 1407 1243 1408 1243 1409 1243 1409 1243 1410 1243 1411 1242 1411 1242 1412 1242 1412 1242 1413 1242 1413 1241 1413 1240 1413 1240 1413 1240 1414 1239 1414 1239 1414 1240 1414 1240 1413 1240 1413 1240 1412 1241 1412 1242 1412 1242 1411 1242 1411 1243 1411 1243 1410 1243 1409 1243 1409 1243 1408 1242 1408 1242 1407 1241 1407 1240 1407 1239 1407 1239 1407 1239 1408 1240 1408 1241 1408 1241 1408 1242 1408 1242 1409 1243 1409 1243 1409 1243 1410 1243 1411 1243 1411 1242 1411 1242 1412 1242 1412 1242 1413 1241 1413 1240 1413 1240 1413 1239 1413 1239 1413 1239 1412 1240 1412 1241 1412 1241 1411 1242 1411 1242 1410 1243 1410 1243 1410 1242 1410 1241 1410 1240 1410 1239 1410 1239 1409 1239 1408 1239 1408 1239 1407 1239 1406 1239 1405 1239 1405 1239 1404 1240 1404 1240 1403 1240 1402 1240 1402 1240 1401 1239 1401 1238 1401 1237 1401 1236 1401 1235 1401 1235 1401 1234 1401 1233 1401 1233 1401 1233 1400 1234 1400 1234 1400 1235 1400 1236 1400 1236 1399 1236 1398 1236 1397 1236 1396 1236 1395 1236 1395 1236 1394 1236 1394 1237 1394 1237 1393 1237 1392 1237 1391 1237 1391 1238 1391 1239 1391 1239 1391 1239 1390 1239 1390 1239 1389 1239 1388 1240 1388 1240 1388 1239 1388 1239 1389 1239 1390 1239 1390 1239 1389 1240 1389 1240 1388 1241 1388 1241 1388 1241 1387 1241 1387 1240 1387 1240 1387 1239 1387 1239 1386 1238 1386 1238 1385 1237 1385 1236 1385 1235 1385 1235 1385 1234 1385 1234 1384 1234 1384 1234 1383 1233 1383 1233 1382 1233 1381 1233 1380 1233 1379 1233 1378 1233 1377 1233 1376 1233 1375 1233 1375 1233 1374 1233 1373 1233 1372 1233 1371 1233 1370 1233 1369 1233 1368 1233 1367 1233 1366 1233 1365 1233 1364 1233 1364 1233 1363 1233 1363 1233 1362 1234 1362 1235 1362 1235 1361 1235 1360 1235 1359 1235 1358 1235 1357 1235 1356 1235 1355 1235 1354 1235 1353 1235 1352 1235 1351 1235 1350 1235 1350 1236 1350 1236 1349 1236 1348 1237 1348 1238 1348 1238 1347 1239 1347 1239 1346 1239 1345 1240 1345 1241 1345 1242 1345 1243 1345 1244 1345 1245 1345 1246 1345 1246 1345 1247 1345 1248 1345 1249 1345 1250 1345 1251 1345 1252 1345 1253 1345 1254 1345 1255 1345 1256 1345 1257 1345 1258 1345 1258 1345 1258 1344 1258 1343 1258 1343 1258 1344 1258 1345 1258 1346 1258 1346 1258 1347 1258 1348 1258 1349 1258 1350 1258 1351 1258 1351 1259 1351 1259 1352 1259 1352 1260 1352 1261 1352 1262 1352 1262 1352 1262 1353 1262 1354 1262 1354 1263 1354 1264 1354 1265 1354 1265 1355 1266 1355 1266 1355 1266 1356 1266 1357 1266 1357 1266 1358 1267 1358 1268 1358 1268 1359 1268 1360 1268 1360 1269 1360 1270 1360 1270 1360 1270 1361 1270 1362 1270 1363 1270 1364 1270 1364 1270 1365 1270 1366 1270 1366 1271 1366 1272 1366 1273 1366 1274 1366 1275 1366 1275 1366 1276 1366 1277 1366 1278 1366 1279 1366 1280 1366 1280 1366 1281 1366 1282 1366 1283 1366 1284 1366 1285 1366 1286 1366 1286 1366 1287 1366 1287 1367 1288 1367 1288 1367 1289 1367 1290 1367 1291 1367 1292 1367 1292 1367 1292 1366 1293 1366 1293 1365 1293 1364 1293 1363 1293 1363 1293 1364 1293 1364 1293 1365 1293 1366 1293 1367 1293 1368 1293 1368 1293 1369 1292 1369 1291 1369 1291 1369 1290 1369 1289 1369 1288 1369 1288 1369 1287 1369 1287 1369 1286 1369 1285 1369 1284 1369 1283 1369 1282 1369 1282 1369 1282 1370 1282 1371 1282 1371 1281 1371 1281 1372 1281 1373 1281 1374 1281 1375 1281 1375 1280 1375 1280 1376 1280 1377 1280 1377 1280 1378 1280 1379 1279 1379 1279 1380 1279 1381 1279 1382 1279 1382 1279 1383 1279 1383 
5, 1278 1383 
6, 1278 1383 
7, 1278 1381 
8, 1277 1381 
9, 1276 1380 1275 1380 1275 1380 1275 1379 1274 1379 1273 1379 1272 1379 1272 1379 1271 1379 1271 1379 1270 1379 1270 1379 1269 1379 1268 1379 1268 1379 
